Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
0.0,97074.217731,73.879424,27.962546,24.926845,652.081089,971.64974,1250.202142,245.3370422,529.706496,749.024524,3264.0,9900.0,3817.615087,48619.354392,49232.26507,163.72267,2919.035102,26507.273511,3993.791541,710.696967,1629.826957,235.469913,284.326281,191.096932
1.0,95429.853308,73.534177,27.986876,24.940471,667.673824,972.743146,1250.756993,245.3409338,529.718264,749.062781,3264.0,9900.0,3767.420478,47507.410223,47829.016287,162.01356,2866.40841,28623.891905,4076.912008,712.228014,1639.309864,233.609483,281.99417,205.060423
2.0,94077.499427,73.140301,27.995529,24.889294,673.289379,972.668297,1251.443896,245.64380720000005,529.738506,749.136777,3264.0,9900.0,3704.09158,46703.479964,46715.61266,159.845849,2859.951454,29144.075522,3973.796445,710.423734,1636.272286,230.881021,278.777225,208.913599
3.0,92783.978871,72.827395,27.982058,24.903105,675.301911,972.157097,1252.107679,245.90669180000006,529.768434,749.228532,3264.0,9900.0,3638.44006,46060.249483,45930.2988,157.599361,2896.829162,29434.145697,3805.433904,710.624116,1634.530711,227.600253,275.137445,211.300426
4.0,91598.00995,72.619547,28.0014,24.903772,676.07973,971.236811,1252.692581,246.00095960000004,529.80718,749.353633,3264.0,9900.0,3559.634343,45330.134875,45088.256059,154.856395,2930.233075,29579.101361,3853.213733,709.468918,1634.137357,224.136107,270.383796,212.740957
5.0,90518.559704,72.356785,28.010664,24.903976,676.381639,970.344128,1253.156648,246.02872460000003,529.853777,749.499793,3264.0,9900.0,3479.817796,44701.445355,44397.738874,152.082227,2939.357011,29641.722606,3737.560086,708.532176,1633.691099,220.792965,265.163516,213.614396
6.0,89653.111467,72.181173,28.005251,24.876693,676.495797,969.622908,1253.507639,246.10162280000006,529.907512,749.652185,3264.0,9900.0,3410.124693,44210.621849,43846.473939,149.67478,2940.982114,29668.626389,3707.931947,706.140146,1632.820125,217.748729,260.312999,214.214379
7.0,88777.562896,72.035272,28.025562,24.883382,676.527164,968.680188,1253.713339,246.21253880000006,529.96856,749.805018,3264.0,9900.0,3332.147709,43650.351157,43324.800217,146.943518,2950.851404,29686.875576,3673.145101,705.783363,1632.703433,215.255539,254.512078,214.72045
8.0,88248.377964,71.917707,28.011529,24.862774,676.527289,968.605495,1253.825294,246.30973880000002,530.035634,749.945907,3264.0,9900.0,3310.467126,43711.763837,43809.663272,146.169085,2965.521194,29684.781969,3620.859192,702.429424,1632.644339,213.244523,253.889818,215.066598
9.0,88023.920307,71.838184,27.992616,24.887641,676.538906,968.889951,1253.907818,246.3829412000001,530.10952,750.076178,3264.0,9900.0,3310.587577,43826.783762,43874.382812,146.199543,2977.340386,29677.375377,3560.295381,702.004029,1632.645747,211.602386,255.446652,215.346543
10.0,87898.539222,71.804521,27.980632,24.92494,676.556784,968.993637,1253.971315,246.4511774,530.190374,750.195528,3264.0,9900.0,3310.584522,43866.395322,43887.264244,146.210643,2995.566809,29663.585474,3666.459904,698.742577,1632.827465,210.294046,257.119822,215.556091
11.0,87975.488059,71.68632,27.977194,24.902551,676.52688,969.002637,1254.035993,246.49125440000003,530.277349,750.302049,3264.0,9900.0,3310.549463,43850.834091,43820.230855,146.216461,2998.283188,29630.348432,3557.12232,696.639991,1632.390108,209.248148,258.895359,215.724817
12.0,88116.156753,71.655584,28.024291,24.907724,676.527795,968.827776,1254.113301,246.5638484000001,530.370772,750.400623,3264.0,9900.0,3310.481651,43735.264318,43680.119417,146.167176,3007.758144,29636.235181,3530.053177,694.857582,1632.838061,208.488513,261.548756,215.89643
13.0,88212.526995,71.645787,27.993953,24.904992,676.542911,968.833527,1254.170378,246.6237776,530.46913,750.489037,3264.0,9900.0,3310.467135,43731.782635,43691.973644,146.198247,3023.132236,29625.989316,3600.023549,691.374718,1632.829665,207.970906,263.384671,216.055924
14.0,88256.698832,71.579692,27.965693,24.916044,676.532907,968.865884,1254.203488,246.654941,530.571466,750.567705,3264.0,9900.0,3310.47521,43748.899031,43721.637032,146.226539,3031.592791,29614.311542,3414.427783,688.641965,1633.009916,207.664164,265.079204,216.18707
15.0,88384.225897,71.651824,28.011306,24.919235,676.542993,968.709745,1254.249532,246.69009680000008,530.676427,750.637317,3264.0,9900.0,3310.402162,43646.45571,43591.436744,146.178268,3040.470444,29599.583907,3605.87194,685.962944,1632.586674,207.58486,267.933212,216.279867
16.0,88570.105901,71.58071,27.996342,24.89533,676.536791,968.693899,1254.289148,246.72016940000006,530.782251,750.696855,3264.0,9900.0,3310.361323,43629.305934,43562.377174,146.194812,3048.951302,29590.062447,3555.589413,683.450011,1633.433212,207.676168,270.240299,216.368866
17.0,88619.004444,71.54627,27.964908,24.912483,676.546937,968.726417,1254.298879,246.7445036,530.887962,750.750015,3264.0,9900.0,3310.383556,43653.826891,43621.235235,146.225537,3055.639446,29578.559665,3523.964596,682.121952,1632.329098,207.921698,272.269495,216.471227
18.0,88805.645425,71.535303,28.015561,24.903139,676.547044,968.553906,1254.33083,246.76698200000004,530.991535,750.793089,3264.0,9900.0,3310.272802,43541.499596,43467.145631,146.172536,3060.785849,29566.854735,3571.289331,678.752783,1633.803436,208.333935,275.645369,216.539052
19.0,89021.00892,71.489917,28.030173,24.886154,676.539302,968.461135,1254.364868,246.7888394,531.091418,750.828153,3264.0,9900.0,3310.210921,43483.412362,43401.630557,146.15706,3062.130366,29557.181222,3568.12168,674.614623,1633.587263,208.892864,278.557628,216.607712
20.0,89223.462749,71.450114,28.026495,24.872468,676.542369,968.41753,1254.392392,246.81808760000004,531.186384,750.85303,3264.0,9900.0,3310.162385,43455.44883,43376.462299,146.160396,3063.788001,29549.350887,3495.63111,672.733598,1634.14059,209.571328,281.532471,216.67735
21.0,89235.889097,71.467311,28.018544,24.920319,676.563343,968.397871,1254.393012,246.8462324000001,531.274975,750.87177,3264.0,9900.0,3310.180239,43453.873547,43421.000991,146.164633,3072.280532,29543.121767,3568.887394,671.932069,1633.893674,210.405513,284.464415,216.748586
22.0,89484.853642,71.427509,28.025398,24.871245,676.545562,968.386963,1254.404619,246.84961820000004,531.354195,750.878195,3264.0,9900.0,3310.082091,43432.47787,43342.231934,146.159059,3075.823582,29528.427436,3497.971831,670.472244,1634.38793,211.313355,287.75487,216.758644
23.0,89511.8797,71.441173,28.019681,24.925729,676.522654,968.349286,1254.389746,246.8538068,531.423931,750.880926,3264.0,9900.0,3310.115504,43429.259214,43390.207759,146.161454,3082.126942,29523.263854,3499.378319,668.870091,1634.528079,212.351363,290.840407,216.818346
24.0,89703.715429,71.451784,27.986141,24.872077,676.520896,968.45277,1254.363843,246.84625760000003,531.481292,750.870319,3264.0,9900.0,3310.085352,43481.871336,43409.617294,146.198177,3083.990825,29507.790706,3606.961026,668.302152,1635.845778,213.402003,293.920721,216.806115
25.0,89880.636364,71.384098,28.016091,24.878865,676.5485,968.327475,1254.345093,246.84352340000007,531.526929,750.8567,3264.0,9900.0,3310.014575,43411.343712,43334.345951,146.1658,3083.905293,29505.775647,3489.820709,667.14069,1635.093819,214.504449,297.545377,216.87053
26.0,89999.514708,71.405575,27.985536,24.879194,676.550968,968.363229,1254.305924,246.8458634,531.559014,750.835192,3264.0,9900.0,3310.046406,43441.343573,43383.155639,146.197983,3086.549683,29498.608265,3488.383082,668.875225,1636.166362,215.634484,300.439869,216.897183
