Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
0.0,97737.081042,74.013409,27.976042,24.920859,639.253941,969.774131,1249.9908,245.33067200000002,529.706496,749.024524,3264.0,9900.0,3825.16182,49773.047043,50141.999669,163.886564,2922.063093,26507.273489,3997.934405,710.704586,1629.869013,236.34092,285.640794,191.096932
1.0,96951.758345,73.822362,27.987794,24.922551,649.302422,970.678357,1250.212124,245.26704380000004,529.710514,749.020178,3264.0,9900.0,3805.458415,49192.960721,49404.080474,163.225843,2875.395912,27773.628039,4024.218137,713.361845,1640.562115,236.115526,284.7705,199.504232
2.0,96189.563355,73.62912,28.03193,24.931893,652.94583,970.590027,1250.522242,245.47344260000003,529.714569,749.019561,3264.0,9900.0,3770.080423,48678.241215,48760.76926,161.970067,2862.020194,28064.536629,3992.119145,713.142712,1636.499085,235.729085,283.124972,201.700125
3.0,95609.925474,73.468205,27.982648,24.929457,654.261335,970.801138,1250.844588,245.67598760000004,529.718006,749.001833,3264.0,9900.0,3756.897789,48589.37352,48588.689573,161.572927,2889.516619,28224.684679,3967.485356,711.829289,1637.94029,235.142642,282.487405,203.051067
4.0,95122.765523,73.308251,27.979447,24.911602,654.743231,970.489473,1251.148386,245.73417980000005,529.721673,749.000807,3264.0,9900.0,3728.110527,48290.519049,48235.060101,160.583881,2913.36553,28305.86819,3958.769102,712.222237,1635.935407,234.459118,281.04824,203.877633
5.0,94605.851004,73.14032,27.981926,24.932151,654.904427,970.137776,1251.400869,245.73872480000003,529.725591,749.009177,3264.0,9900.0,3699.214118,48024.742828,47968.344208,159.578401,2920.542402,28334.981712,3899.111387,711.759447,1637.390167,233.8195,279.54155,204.339662
6.0,94295.839079,73.015243,28.002223,24.884229,654.9861,969.673496,1251.620592,245.7703868,529.728561,749.022792,3264.0,9900.0,3665.863686,47692.080181,47570.396632,158.406411,2916.124621,28339.846345,3876.660847,711.97909,1636.696076,233.297569,277.728695,204.616363
7.0,94023.931283,72.914672,28.029279,24.861636,655.008307,969.171023,1251.79225,245.84805860000003,529.7311,749.037176,3264.0,9900.0,3632.547101,47365.633159,47231.490196,157.224494,2921.415711,28346.165092,3811.299037,711.761832,1637.24941,232.999187,275.839614,204.87671
8.0,93799.493255,72.865139,27.986713,24.856691,655.022021,969.203948,1251.911642,245.90977880000005,529.732684,749.050611,3264.0,9900.0,3621.173923,47366.26907,47243.364182,156.872305,2931.28637,28344.049426,3870.914341,712.295071,1637.081463,232.877899,275.176668,205.066298
9.0,93501.768795,72.768987,27.978272,24.883374,655.032931,969.018765,1251.973032,245.94649880000003,529.733659,749.062042,3264.0,9900.0,3602.722343,47257.391507,47176.070427,156.235515,2936.582627,28332.664482,3857.043131,711.529275,1637.07461,232.990785,274.082891,205.17777
10.0,93175.435417,72.684956,28.007306,24.922464,655.021095,968.666563,1251.980561,245.9842808,529.73324,749.066939,3264.0,9900.0,3578.576957,47060.195698,47008.818433,155.361869,2942.561859,28310.127497,3836.451226,711.596896,1637.342652,233.442919,272.618238,205.200223
11.0,93039.056199,72.617229,28.003186,24.920914,655.02098,968.641615,1251.955863,246.01667720000006,529.730214,749.058186,3264.0,9900.0,3568.470868,47043.781786,46969.687482,155.014409,2947.268637,28280.921676,3802.648894,711.849457,1638.042152,234.18117,271.993332,205.164253
12.0,93013.817387,72.576174,28.018399,24.897906,655.016827,968.421891,1251.907774,246.04748600000005,529.724713,749.038252,3264.0,9900.0,3553.481568,46920.551811,46831.602719,154.479261,2952.592296,28256.297043,3785.095027,713.394174,1638.22138,235.194421,271.055466,205.137231
13.0,93022.794966,72.548891,28.018352,24.889312,655.01141,968.354557,1251.83181,246.07212620000004,529.716612,749.00816,3264.0,9900.0,3546.468114,46898.208302,46823.372388,154.23399,2960.884253,28232.384554,3749.579267,712.054762,1638.622158,236.445215,270.611012,205.111061
