Time,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11
0.000000,66.439620,44.087822,47.487892,44.281124,25.991813,55.651530,46.800000,82.000000,53.700000,57.000000
1.000000,66.453891,44.064677,47.481207,46.963197,26.097474,55.749729,46.015729,87.389364,54.232444,57.865664
2.000000,66.441056,43.960353,47.484218,46.867995,26.194102,55.913187,45.932697,78.520013,54.973791,58.611370
3.000000,66.464491,43.950381,47.489444,46.784991,26.261262,55.955171,46.652973,76.294858,56.101357,59.538148
4.000000,66.460713,43.941296,47.507492,46.928680,26.336572,55.985387,47.324569,73.017100,57.580427,60.595154
5.000000,66.460490,43.952471,47.523663,47.073581,26.344593,56.008638,47.581200,70.285680,59.456232,61.751541
6.000000,66.453847,43.944155,47.523705,46.312549,26.367415,56.070028,47.610304,65.344175,61.845515,62.906643
7.000000,66.457866,44.055688,47.530186,46.382000,26.376059,55.931551,47.623963,66.542527,64.810529,64.126001
8.000000,66.447183,44.054900,47.542968,46.101256,26.367263,55.958277,47.782898,62.592326,67.746183,65.321103
9.000000,66.480131,44.088686,47.534911,45.441222,26.351621,55.926985,47.796791,63.260990,70.912238,66.433190
10.000000,66.441937,44.107038,47.531069,44.460220,26.337120,55.892577,47.705020,63.118421,74.467588,67.614094
11.000000,66.454007,43.982684,47.524850,44.340488,26.328630,56.027893,47.672523,61.773965,78.336880,68.756249
12.000000,66.473756,44.015220,47.534719,44.230805,26.275650,55.977521,47.548003,64.250503,82.658853,69.990372
13.000000,66.458170,44.054995,47.543098,44.322660,26.224266,55.917709,47.484769,65.001038,86.535622,71.185825
14.000000,66.462850,44.089283,47.526054,43.418975,26.206006,55.875731,47.266695,61.204247,91.031825,72.335862
15.000000,66.454323,44.146362,47.540445,43.549667,26.148708,55.779156,47.193749,61.579300,95.000000,73.470232
16.000000,66.473967,44.040831,47.532046,43.190698,26.088073,55.925592,46.929931,62.324346,95.000000,74.632087
17.000000,66.460719,44.297557,47.518729,42.492905,26.074302,55.572554,46.778533,60.822521,95.000000,75.752027
18.000000,66.468674,44.165723,47.521507,42.273072,26.032292,55.737100,46.611250,59.564890,95.000000,76.870512
19.000000,66.458552,44.137680,47.522691,42.147736,25.980010,55.777369,46.408170,63.266109,95.000000,77.991377
20.000000,66.446505,44.058176,47.522038,42.149430,25.938767,55.871731,46.168829,64.484972,95.000000,79.114258
21.000000,66.470997,44.294312,47.511704,41.770345,25.898077,55.559005,45.928309,63.199637,95.000000,80.219543
22.000000,66.474288,44.273936,47.515692,41.482086,25.863949,55.587649,45.761170,64.074778,95.000000,81.314841
