Time,Ambient_Temp,Feed_Quality,Feed_Temp,Condenser_Efficiency,Cyclone_Damage,Catalyst_Deactivation,Preheater_Increase,Preheater_Shutdown,Dist_V2,Dist_V3,Dist_V4,Dist_V6,Dist_V7,Dist_V8
0,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
1.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
2.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
3.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
4.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
5.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
6.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
7.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
8.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
9.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
10.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
11.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
12.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
13.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
14.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
15.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
16.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
17.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
18.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
19.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
20.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
21.000000,73.994948,22.456363,460.895271,0.814435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.907806
