Time,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11
0.000000,64.873641,53.560273,48.110204,44.054178,27.097587,56.187191,46.800000,82.000000,53.700000,57.000000
1.000000,64.890468,53.560273,48.263865,48.406586,28.003630,56.614244,46.143886,85.361816,53.749776,57.310425
2.000000,64.884152,53.560273,48.390818,49.445467,28.934080,57.252239,46.240838,79.339889,53.589507,57.149396
3.000000,64.887172,53.560273,48.513519,50.253819,29.862377,57.808357,47.097134,73.726578,53.333948,56.883601
4.000000,64.866044,53.560273,48.622142,50.449522,30.787280,58.129841,47.946097,71.161524,52.959469,56.614142
5.000000,64.877812,53.560273,48.736365,50.492529,31.718669,58.713736,48.280524,68.263604,52.337432,56.251684
6.000000,64.859258,53.560273,48.837934,50.657620,32.613194,58.910142,48.406217,65.964044,51.663992,55.774918
7.000000,64.866728,53.560273,48.926166,49.927888,33.563100,59.278368,48.585147,63.712409,50.844551,55.214345
8.000000,64.885369,53.560273,49.043062,50.739891,34.503035,59.696933,49.048444,61.029943,49.747663,54.618048
9.000000,64.868435,53.560273,49.143890,51.067379,35.419745,59.975013,49.312743,61.015243,48.585293,53.932626
10.000000,64.869480,53.560273,49.239333,51.109468,36.357638,60.151044,49.609014,60.581790,47.260777,53.140586
11.000000,64.878713,53.560273,49.338721,51.573116,37.265426,60.327387,49.942542,60.031006,45.527652,52.321214
12.000000,64.897374,53.560273,49.437447,51.402902,38.190795,60.644298,50.109114,56.757889,43.508485,51.448847
13.000000,64.853743,53.560273,49.541807,51.770566,39.179726,60.949232,50.442213,58.366306,41.244441,50.494161
14.000000,64.895355,53.560273,49.611123,51.044868,40.109025,60.968947,50.672745,56.747399,38.477060,49.488643
15.000000,64.861134,53.560273,49.709734,51.776219,41.046490,61.126551,50.972926,57.539777,35.554630,48.431469
16.000000,64.871451,53.560273,49.824943,52.192847,42.044247,61.580814,51.306670,56.434762,32.246757,47.322264
17.000000,64.867761,53.560273,49.903628,52.591136,43.006422,61.459054,51.558547,53.943108,28.659474,46.161462
18.000000,64.874342,53.560273,49.989138,51.772379,44.032234,61.828849,51.745459,57.133708,24.653473,44.918000
19.000000,64.873317,53.560273,50.085750,51.907103,45.052650,61.910042,52.043454,56.498077,20.341697,43.699882
20.000000,64.868407,53.560273,50.183828,52.937209,46.091581,62.053462,52.278509,55.600788,15.610017,42.459325
21.000000,64.887065,53.560273,50.259043,52.831849,47.143425,62.027820,52.653757,54.942975,10.663109,41.170765
22.000000,64.885384,53.560273,50.369839,53.244591,48.236863,62.417307,52.977045,55.754564,5.351350,39.847176
23.000000,64.861583,53.560273,50.432953,52.487623,49.337224,62.376983,53.244839,53.036802,5.000000,38.551940
24.000000,64.869615,53.560273,50.539294,53.072949,50.449326,62.612224,53.538238,53.543119,5.000000,37.199063
25.000000,64.869855,53.560273,50.625371,53.009937,51.615276,62.646124,53.718412,54.116191,5.000000,35.862721
26.000000,64.879345,53.560273,50.726863,54.131317,52.790275,62.750983,54.086825,55.977347,5.000000,34.527880
27.000000,64.879990,53.560273,50.796925,53.721708,53.998362,62.788482,54.397168,53.016303,5.000000,33.204107
28.000000,64.896326,53.560273,50.877799,53.082726,55.243251,62.985540,54.665276,53.793167,5.000000,31.919537
29.000000,64.847976,53.560273,50.968670,53.610564,56.532893,63.143879,54.975261,52.204184,5.000000,30.619315
30.000000,64.886132,53.560273,51.065205,53.907826,57.844271,63.244679,55.288556,53.398309,5.000000,29.377931
31.000000,64.859158,53.560273,51.138143,53.726403,59.209054,63.130880,55.615987,54.229197,5.000000,28.153081
32.000000,64.881092,53.560273,51.228260,54.971557,60.525757,63.158470,55.876469,48.809760,5.000000,26.971161
33.000000,64.885408,53.560273,51.327775,54.395524,61.962288,63.503007,56.192960,49.557957,5.000000,25.814557
34.000000,64.871573,53.560273,51.409365,54.915317,63.423993,63.597498,56.527799,52.085660,5.000000,24.728565
35.000000,64.875287,53.560273,51.485524,55.057399,64.898524,63.579769,56.751410,49.796951,5.000000,23.668849
36.000000,64.874779,53.560273,51.560596,54.246577,66.453714,63.702819,57.076113,51.203026,5.000000,22.673006
37.000000,64.888847,53.560273,51.654993,55.554369,67.986357,63.564918,57.367089,48.267412,5.000000,21.752410
38.000000,64.872855,53.560273,51.711668,55.533429,69.525061,63.484972,57.729909,51.198926,5.000000,20.880105
39.000000,64.868989,53.560273,51.809565,55.102489,71.171354,63.798933,57.977650,48.130864,5.000000,20.132604
40.000000,64.865654,53.560273,51.872592,55.311629,72.791842,63.715345,58.217127,48.751978,5.000000,19.358038
41.000000,64.885021,53.560273,51.957949,55.933204,74.478002,63.701092,58.513444,48.268570,5.000000,18.727236
42.000000,64.873293,53.560273,52.041481,55.811119,76.216528,63.910765,58.768697,45.947360,5.000000,18.130792
43.000000,64.860483,53.560273,52.125984,55.565112,77.998864,64.023419,59.005181,47.141753,5.000000,17.613747
44.000000,64.873042,53.560273,52.181729,55.879885,79.806404,63.906519,59.320144,48.714620,5.000000,17.160385
45.000000,64.887351,53.560273,52.261791,55.874437,81.644075,63.936490,59.532421,46.711341,5.000000,16.764648
46.000000,64.909578,53.560273,52.358678,57.344321,83.510128,64.045432,59.822998,45.355026,5.000000,16.361793
47.000000,64.873520,53.560273,52.427286,57.114673,85.446319,64.091460,60.109332,47.285949,5.000000,16.020029
