Time,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11
0.000000,59.211507,39.230881,47.433011,44.260226,26.016826,62.187696,46.800000,82.000000,53.700000,57.000000
1.000000,59.237318,38.570327,47.340927,46.124536,26.007140,62.187696,46.199505,84.366427,53.909407,57.320350
2.000000,59.227822,37.963636,47.257768,46.901103,25.883086,62.187696,46.040831,86.950245,53.583752,57.155555
3.000000,59.237055,37.428632,47.170891,47.233224,25.686510,62.187696,46.561864,80.265342,53.297799,56.953711
4.000000,59.199984,36.935853,47.082336,47.914146,25.403851,62.187696,47.031489,80.629978,52.861502,56.736194
5.000000,59.195402,36.485434,46.979597,47.426611,25.065325,62.187696,47.293871,78.813068,52.608005,56.386545
6.000000,59.197468,36.070073,46.880509,48.103626,24.663094,62.187696,47.281624,74.962509,51.890051,56.076337
7.000000,59.210204,35.694979,46.771547,47.723115,24.238541,62.187696,47.349355,75.237602,51.209983,55.722013
8.000000,59.197982,35.336293,46.662127,47.809958,23.777148,62.187696,47.651390,71.848383,50.480121,55.345346
9.000000,59.194686,35.006634,46.552723,47.715190,23.268292,62.187696,47.791879,72.295738,49.478203,54.978402
10.000000,59.194915,34.698515,46.431367,47.816857,22.794884,62.187696,47.925120,73.672229,48.499903,54.555147
11.000000,59.188138,34.426444,46.311672,47.854041,22.303757,62.187696,48.132356,70.064367,47.522784,54.150338
12.000000,59.212146,34.170510,46.183120,47.697500,21.807155,62.187696,48.121498,70.421776,46.355029,53.771281
13.000000,59.203433,33.935807,46.059433,47.872680,21.342152,62.187696,48.294093,72.277016,45.013199,53.366418
14.000000,59.198155,33.730921,45.932472,47.929506,20.903529,62.187696,48.494784,70.360335,43.410378,53.019165
15.000000,59.206069,33.548358,45.810163,48.235815,20.481566,62.187696,48.667125,72.231655,41.847275,52.654090
16.000000,59.196009,33.393457,45.683564,48.160381,20.071122,62.187696,48.713536,75.804183,40.191582,52.348403
17.000000,59.209626,33.243355,45.561900,47.971390,19.744973,62.187696,48.782829,70.239961,38.389459,51.967012
18.000000,59.197824,33.124701,45.437927,48.012851,19.422224,62.187696,48.974887,71.414832,36.787629,51.630950
19.000000,59.197383,33.015900,45.312467,47.715244,19.130511,62.187696,49.135034,68.597380,34.970237,51.361506
20.000000,59.175196,32.927016,45.193321,47.777457,18.871892,62.187696,49.250379,73.021102,33.280351,51.062105
21.000000,59.182183,32.865673,45.079897,47.864634,18.650674,62.187696,49.388820,69.891730,31.450690,50.856279
22.000000,59.185704,32.811734,44.977492,48.154151,18.438350,62.187696,49.348265,67.688860,29.803923,50.589253
23.000000,59.194895,32.791597,44.866291,47.724526,18.273620,62.187696,49.510593,69.558945,28.159290,50.445993
24.000000,59.201023,32.766845,44.779599,47.886060,18.121954,62.187696,49.640672,68.573476,26.532923,50.227235
25.000000,59.191901,32.770602,44.664780,47.397529,18.002457,62.187696,49.699934,69.177981,24.862607,50.047443
26.000000,59.178271,32.773559,44.586246,48.084611,17.881742,62.187696,49.648896,69.025248,23.449109,49.951060
27.000000,59.185077,32.808903,44.498261,47.521354,17.796588,62.187696,49.730036,69.387867,22.399286,49.846232
28.000000,59.198759,32.842102,44.413355,47.882152,17.714490,62.187696,49.843863,67.107629,21.349679,49.747294
29.000000,59.194037,32.898341,44.338868,47.882918,17.656164,62.187696,49.878211,69.393956,20.636927,49.726597
30.000000,59.195325,32.955121,44.265234,47.611895,17.592305,62.187696,49.871826,67.669438,20.009616,49.714457
31.000000,59.203791,33.019199,44.195635,47.603885,17.568820,62.187696,49.877696,70.208736,19.658442,49.697741
32.000000,59.189301,33.093188,44.134367,47.745598,17.520381,62.187696,49.966136,69.350512,19.727747,49.680201
33.000000,59.193391,33.178133,44.059588,47.277312,17.516669,62.187696,49.932387,69.759636,19.967496,49.725538
34.000000,59.200314,33.257464,44.013826,47.796556,17.494030,62.187696,49.950820,68.664874,20.295478,49.817830
35.000000,59.210087,33.360694,43.950131,47.818160,17.462879,62.187696,49.963713,66.168232,20.915020,49.901632
36.000000,59.205901,33.459424,43.897917,47.496779,17.453821,62.187696,50.013913,68.539710,22.077185,50.037487
37.000000,59.199309,33.561229,43.853147,48.082461,17.458980,62.187696,49.978704,68.787115,23.250994,50.109373
38.000000,59.197277,33.678954,43.802666,47.717435,17.456153,62.187696,49.946639,66.366177,24.512406,50.223185
39.000000,59.203878,33.782088,43.766419,48.082607,17.469323,62.187696,49.874563,71.763667,26.202248,50.416178
40.000000,59.210442,33.901999,43.714051,47.541142,17.467421,62.187696,49.885561,70.133121,27.939579,50.549734
41.000000,59.198171,34.012565,43.659804,47.316319,17.483513,62.187696,49.778588,72.056613,29.798062,50.797299
42.000000,59.190718,34.117648,43.638515,47.730106,17.492656,62.187696,49.780680,68.589807,32.026630,50.932595
43.000000,59.201981,34.236948,43.593990,47.561738,17.517675,62.187696,49.821294,65.451078,34.056384,51.175918
44.000000,59.196666,34.357916,43.553187,47.503425,17.527276,62.187696,49.741768,66.363731,36.559460,51.376852
45.000000,59.195128,34.476140,43.526962,48.060489,17.517624,62.187696,49.758577,67.209306,38.730077,51.598250
46.000000,59.194226,34.590854,43.499915,47.610881,17.552638,62.187696,49.695280,68.788963,41.031161,51.877666
47.000000,59.197220,34.712421,43.466760,47.913031,17.563858,62.187696,49.515270,67.787744,43.446203,52.104594
48.000000,59.192322,34.832052,43.431182,47.422218,17.587519,62.187696,49.521236,67.274093,45.922861,52.342483
49.000000,59.212694,34.936877,43.402726,47.477549,17.618258,62.187696,49.429577,70.986845,48.278688,52.678749
50.000000,59.198392,35.053851,43.373123,47.435185,17.637020,62.187696,49.382387,68.556257,50.796008,52.954068
51.000000,59.212196,35.163856,43.353907,47.757040,17.640253,62.187696,49.327460,69.276744,53.107013,53.233042
52.000000,59.189971,35.277453,43.319178,46.962918,17.675389,62.187696,49.286882,69.731818,55.177282,53.555839
53.000000,59.198862,35.378150,43.310335,48.022863,17.682612,62.187696,49.224145,70.919517,57.314066,53.880162
54.000000,59.201474,35.510733,43.279888,47.660153,17.700530,62.187696,49.201438,67.937574,59.550206,54.175108
55.000000,59.183708,35.622718,43.252495,47.637693,17.702719,62.187696,49.131082,71.484670,61.352541,54.558740
56.000000,59.202771,35.729790,43.225183,47.233260,17.740216,62.187696,49.048558,69.825645,63.465938,54.812197
57.000000,59.183069,35.822134,43.204981,47.246490,17.752742,62.187696,48.947517,70.180388,65.193654,55.176956
58.000000,59.203501,35.920450,43.194948,47.392133,17.776040,62.187696,49.004106,71.826456,67.186378,55.479729
59.000000,59.183480,36.025227,43.176708,47.611688,17.775549,62.187696,48.899430,69.576549,68.676558,55.813806
