Time,Ambient_Temp,Feed_Quality,Feed_Temp,Condenser_Efficiency,Cyclone_Damage,Catalyst_Deactivation,Preheater_Increase,Preheater_Shutdown,Dist_V2,Dist_V3,Dist_V4,Dist_V6,Dist_V7,Dist_V8
0,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
1.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
2.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
3.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
4.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
5.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
6.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
7.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
8.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
9.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
10.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
11.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
12.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
13.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
14.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
15.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
16.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
17.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
18.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
19.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
20.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
21.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
22.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
23.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
24.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
25.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
26.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
27.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
28.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
29.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
30.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
31.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
32.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
33.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
34.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
35.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
36.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
37.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
38.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
39.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
40.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
41.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
42.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
43.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
44.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
45.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
46.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
47.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
48.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
49.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
50.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
51.000000,84.408558,20.486160,460.905485,0.942579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.156840
